,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,617597680,7923.465035201058,2979392,38.224088435950286,469892,6532705,83.81129225223631,8608,0.1104362746683419,1492,
United States of America,Americas,95260865,28779.487,295170,89.175,61186,1050195,317.277,2722,0.822,726,
India,South-East Asia,44606460,3232.342,19153,1.388,1997,528754,38.315,125,0.009,9,
Brazil,Americas,34699017,16324.385,44827,21.089,7121,686573,323.003,646,0.304,109,
France,Europe,34665044,53298.563,360445,554.195,65122,151793,233.386,288,0.443,49,
Germany,Europe,33826367,40672.965,481044,578.409,99171,150406,180.849,75,0.09,11,
Republic of Korea,Western Pacific,24933756,48633.026,164655,321.158,22298,28614,55.811,208,0.406,41,
The United Kingdom,Europe,23735277,34963.432,56502,83.231,5995,190888,281.189,250,0.368,0,
Italy,Europe,22692912,38048.87,260109,436.121,44849,177356,297.37,302,0.506,56,
Japan,Western Pacific,21460295,16967.817,231079,182.705,33440,45248,35.776,570,0.451,91,
Russian Federation,Europe,21163942,14502.361,178186,122.1,22268,387991,265.867,722,0.495,104,
Türkiye,Europe,16873793,20007.09,0,0.0,0,101139,119.92,0,0.0,0,
Spain,Europe,13431098,28375.99,18835,39.793,0,114262,241.402,178,0.376,0,
Viet Nam,Western Pacific,11483529,11797.51,5643,5.797,0,43151,44.331,3,0.003,0,
Australia,Western Pacific,10191312,39966.111,0,0.0,0,14853,58.247,0,0.0,0,
Argentina,Americas,9711355,21487.308,2935,6.494,0,129937,287.498,40,0.089,0,
Netherlands,Europe,8441351,48492.373,13563,77.914,0,22663,130.19,15,0.086,0,
China,Western Pacific,7942654,539.844,324178,22.034,48152,26769,1.819,381,0.026,63,
Iran (Islamic Republic of),Eastern Mediterranean,7550691,8989.672,2723,3.242,0,144466,171.998,50,0.06,0,
Mexico,Americas,7090965,5499.739,1332,1.033,0,330139,256.055,12,0.009,0,
Indonesia,South-East Asia,6442624,2355.418,11000,4.022,1501,158192,57.835,80,0.029,15,
Poland,Europe,6310973,16626.14,17415,45.879,2626,117743,310.192,174,0.458,41,
Colombia,Americas,6307372,12395.86,820,1.612,0,141794,278.667,25,0.049,0,
Portugal,Europe,5493540,53356.532,3020,29.332,0,25031,243.116,6,0.058,0,
Austria,Europe,5210285,58535.53,91471,1027.641,14233,20794,233.613,40,0.449,2,
Ukraine,Europe,5177217,11838.033,0,0.0,0,109206,249.706,0,0.0,0,
Greece,Europe,4975067,46415.42,54649,509.854,0,33200,309.743,85,0.793,0,
Malaysia,Western Pacific,4850108,14985.195,11236,34.715,1794,36391,112.436,22,0.068,4,
Thailand,South-East Asia,4682132,6707.928,823,1.179,0,32771,46.95,7,0.01,0,
Israel,Europe,4667079,53920.13,5111,59.049,842,11710,135.289,6,0.069,0,
Chile,Americas,4642033,24283.24,21656,113.286,3795,61268,320.503,127,0.664,35,
Belgium,Europe,4566207,39628.82,17537,152.199,16,32716,283.933,38,0.33,1,
Canada,Americas,4251611,11264.887,18207,48.24,0,45218,119.808,193,0.511,0,
Peru,Americas,4146858,12576.963,3773,11.443,858,216637,657.036,98,0.297,11,
Czechia,Europe,4123477,38559.01,19205,179.588,2809,41200,385.265,96,0.898,7,
Switzerland,Europe,4109164,47479.438,11801,136.355,0,13582,156.934,7,0.081,0,
South Africa,Africa,4020142,6778.336,1374,2.317,0,102185,172.293,0,0.0,0,
Philippines,Western Pacific,3961349,3614.994,15783,14.403,2562,63149,57.628,233,0.213,38,
Denmark,Europe,3307186,56797.538,8893,152.728,1542,7112,122.141,47,0.807,9,
Romania,Europe,3273914,16937.976,6544,33.856,845,67069,346.989,53,0.274,3,
Sweden,Europe,2601153,25186.45,12719,123.156,705,20274,196.309,11,0.107,0,
Iraq,Eastern Mediterranean,2460670,6117.647,352,0.875,0,25356,63.039,0,0.0,0,
Serbia,Europe,2373346,34263.708,13816,199.46,1872,17057,246.25,57,0.823,7,
Hungary,Europe,2107907,21576.349,13765,140.897,0,47576,486.984,73,0.747,0,
Bangladesh,South-East Asia,2029015,1232.025,3818,2.318,491,29380,17.84,17,0.01,5,
Singapore,Western Pacific,1936270,33096.698,32168,549.848,6208,1625,27.776,8,0.137,1,
Slovakia,Europe,1846529,33832.392,2844,52.108,450,20472,375.091,15,0.275,2,
Georgia,Europe,1780691,44638.077,0,0.0,0,16900,423.646,0,0.0,0,
New Zealand,Western Pacific,1772016,36746.793,9807,203.371,0,3070,63.663,33,0.684,0,
Jordan,Eastern Mediterranean,1746997,17122.161,0,0.0,0,14122,138.408,0,0.0,0,
Ireland,Europe,1666048,33559.636,1487,29.953,0,7959,160.32,17,0.342,0,
Pakistan,Eastern Mediterranean,1572778,712.011,223,0.101,0,30619,13.862,6,0.003,0,
Kazakhstan,Europe,1483973,7903.265,364,1.939,50,19052,101.466,2,0.011,0,
Norway,Europe,1462731,27251.219,440,8.197,38,4121,76.776,23,0.428,0,
Finland,Europe,1312634,23756.826,9049,163.774,651,6149,111.288,4,0.072,1,
Morocco,Eastern Mediterranean,1265032,3427.29,97,0.263,0,16278,44.101,0,0.0,0,
Bulgaria,Europe,1263630,18177.85,4960,71.352,685,37741,542.92,27,0.388,4,
Lithuania,Europe,1256003,44952.131,5686,203.501,782,9339,334.241,18,0.644,3,
